i,timestamp(ns),AX(m/s2),AY(m/s2),AZ(m/s2),GX(rad/s),GY(rad/s),GZ(rad/s),T(C)
0,99312984862,-0.13374,0.31500,-9.67239,0.01041,0.00186,0.00409,38.56
1,99313859752,-0.28640,0.14740,-9.65326,0.00509,0.00292,0.00090,38.56
2,99314734642,-0.20053,0.16176,-9.68674,0.00189,0.00505,-0.00443,38.56
3,99315609532,0.01414,0.44909,-9.74890,-0.00024,0.00719,-0.00443,38.56
4,99316484422,0.20019,0.61669,-9.75368,-0.00024,0.00505,-0.00123,38.56
5,99317359312,0.01414,0.46345,-9.67717,0.00402,0.00079,0.00622,38.56
6,99318234202,-0.30548,0.23359,-9.63414,0.00402,0.00399,0.00409,38.56
7,99319109092,-0.34841,0.15219,-9.63892,0.00189,0.00292,-0.00123,38.56
8,99319983982,-0.19099,0.31979,-9.68674,-0.00024,0.00292,-0.00656,38.56
9,99320858872,0.08093,0.64542,-9.74890,-0.00237,0.00612,-0.00550,38.56
10,99321733506,0.15249,0.68373,-9.72977,-0.00237,-0.00240,0.00303,38.56
11,99322608139,-0.10989,0.42035,-9.67239,-0.00024,-0.00240,0.00729,38.56
12,99323482772,-0.30071,0.21444,-9.62457,-0.00130,-0.00027,0.00196,38.56
13,99324357405,-0.25300,0.18092,-9.61979,0.00083,0.00186,-0.00230,38.56
14,99325232038,-0.05741,0.45388,-9.71065,-0.00130,0.00292,-0.00337,38.56
15,99326106671,0.18588,0.70768,-9.76803,0.00296,0.00292,-0.00017,38.55
16,99326981304,0.09047,0.56881,-9.68196,0.00615,0.00079,0.00303,38.55
17,99327855937,-0.22438,0.27669,-9.60545,0.00615,0.00186,0.00303,38.56
18,99328730570,-0.31025,0.12824,-9.60067,0.00722,0.00399,-0.00123,38.55
19,99329605203,-0.18144,0.23359,-9.67717,0.00296,0.00612,-0.00550,38.55
20,99330479685,0.07139,0.59754,-9.76325,0.00083,0.00186,-0.00337,38.55
21,99331354161,0.22882,0.69810,-9.75368,0.00296,0.00079,0.00409,38.55
22,99332228637,0.02846,0.45388,-9.70587,0.00722,0.00186,0.00516,38.55
23,99333103113,-0.23392,0.20965,-9.65805,0.00509,0.00825,0.00090,38.55
24,99333977589,-0.25777,0.11866,-9.64370,0.00402,0.00612,-0.00763,38.55
25,99334852065,-0.09558,0.33416,-9.68674,-0.00024,0.00505,-0.00976,38.55
26,99335726541,0.15726,0.62627,-9.73456,0.00189,0.00292,-0.00763,38.55
27,99336601017,0.14772,0.57359,-9.68674,0.00615,0.00505,-0.00017,38.55
28,99337475493,-0.14328,0.32937,-9.63892,0.00509,0.00612,0.00516,38.55
29,99338349969,-0.30071,0.16655,-9.61023,0.00083,0.00719,0.00409,38.55
30,99339224428,-0.22438,0.18092,-9.60067,-0.00237,0.00505,0.00196,38.55
31,99340098884,-0.00971,0.47303,-9.68196,-0.00450,0.00505,-0.00123,38.56
32,99340973340,0.18111,0.62627,-9.70587,-0.00024,0.00079,0.00196,38.56
33,99341847796,0.00460,0.45866,-9.62457,0.00189,0.00079,0.00409,38.55
34,99342722252,-0.28162,0.24796,-9.59588,0.00296,0.00186,0.00303,38.56
